Date,Description,Debit,Credit,Balance
01-06-2024,Salary,-,25000,25000
02-06-2024,Zomato,400,-,24600
03-06-2024,Amazon,1200,-,23400
04-06-2024,Jio Recharge,399,-,23001
05-06-2024,Swiggy,300,-,22701
06-06-2024,Credit Card Refund,-,1000,23701
07-06-2024,Ola,600,-,23101
08-06-2024,Electricity Bill,1500,-,21601
09-06-2024,Flipkart,1800,-,19801
10-06-2024,UPI Cashback,-,500,20301
01-07-2024,Salary,-,25000,45301
02-07-2024,Zomato,500,-,44801
03-07-2024,Petrol,1500,-,43301
04-07-2024,ATM Withdrawal,2000,-,41301
05-07-2024,Flipkart,3000,-,38301
06-07-2024,Ola,800,-,37501
07-07-2024,Phone Recharge,399,-,37102
08-07-2024,Electricity Bill,1600,-,35502
09-07-2024,Movie,600,-,34902
10-07-2024,Foodpanda,700,-,34202
